"","nodes","nTree","r2"
"104",4,2,0.931572836640258
"105",5,2,0.932013266516264
"106",6,2,0.926565665364467
"107",7,2,0.917099373285099
"108",8,2,0.921500382870159
"109",9,2,0.910935031818163
"110",10,2,0.875566273090964
"111",11,2,0.913202040468334
"112",12,2,0.885616948002455
"113",13,2,0.885761090871515
"114",14,2,0.910029041397807
"115",15,2,0.869848857577575
"116",16,2,0.895843605983299
"117",17,2,0.875922230405334
"118",18,2,0.896689626448224
"119",19,2,0.850693660033201
"120",20,2,0.878057780037452
"121",21,2,0.86565810230172
"122",22,2,0.89275781921221
"123",23,2,0.895801848892067
"124",24,2,0.898787331207731
"125",25,2,0.898787331207731
"126",26,2,0.847390941174294
"127",27,2,0.847652283247943
"128",28,2,0.866074712406055
"129",29,2,0.866074712406055
"130",30,2,0.862349014093967
"131",31,2,0.834819487224027
"132",32,2,0.834681505582519
"133",33,2,0.806832860654959
"134",34,2,0.806832860654959
"135",35,2,0.848791168130063
"136",36,2,0.84512171123448
"137",37,2,0.845075798178639
"138",38,2,0.845075798178639
"139",39,2,0.881253271675677
"140",40,2,0.881253271675677
"141",41,2,0.881253271675677
"142",42,2,0.845114962162184
"143",43,2,0.848798772689172
"144",44,2,0.848030060657099
"145",45,2,0.848030060657099
"146",46,2,0.832878393402415
"147",47,2,0.830767915575961
"148",48,2,0.830767915575961
"149",49,2,0.830767915575961
"150",50,2,0.795711788231242
"151",51,2,0.822347601756136
"152",52,2,0.822410256721324
"153",53,2,0.822410256721324
"154",54,2,0.819370791028837
"155",55,2,0.819370791028837
"156",56,2,0.80893275524976
"157",57,2,0.818358550724569
"158",58,2,0.798445350742814
"159",59,2,0.798445350742814
"160",60,2,0.797605306752836
"161",61,2,0.797605306752836
"162",62,2,0.821563457277568
"163",63,2,0.84534205521144
"164",64,2,0.820208249327432
"165",65,2,0.820208249327432
"166",66,2,0.820208249327432
"167",67,2,0.820208249327432
"168",68,2,0.820208249327432
"169",69,2,0.820208249327432
"170",70,2,0.821543075389567
"171",71,2,0.821543075389567
"172",72,2,0.854992459654677
"173",73,2,0.854992459654677
"174",74,2,0.854992459654677
"175",75,2,0.854992459654677
"176",76,2,0.827299505263782
"177",77,2,0.815590760445921
"178",78,2,0.815590760445921
"179",79,2,0.815590760445921
"180",80,2,0.815590760445921
"181",81,2,0.815590760445921
"182",82,2,0.815590760445921
"183",83,2,0.815590760445921
"184",84,2,0.815590760445921
"185",85,2,0.815590760445921
"186",86,2,0.815590760445921
"187",87,2,0.815590760445921
"188",88,2,0.815590760445921
"189",89,2,0.815590760445921
"190",90,2,0.815590760445921
"191",91,2,0.815590760445921
"192",92,2,0.815590760445921
"193",93,2,0.792880129505125
"194",94,2,0.786975811840299
"195",95,2,0.786975811840299
"196",96,2,0.785771251366369
"197",97,2,0.785771251366369
"198",98,2,0.785392394146854
"199",99,2,0.785392394146854
"200",100,2,0.783051373569377
"201",1,3,0.962535050055977
"202",2,3,0.94922547650329
"203",3,3,0.954557857387567
"204",4,3,0.94526661511357
"205",5,3,0.941786886683733
"206",6,3,0.922395389971669
"207",7,3,0.92123624294562
"208",8,3,0.925772749985409
"209",9,3,0.937015157211903
"210",10,3,0.896279246549121
"211",11,3,0.921383105190548
"212",12,3,0.90044882269217
"213",13,3,0.914771913895371
"214",14,3,0.926208934314272
"215",15,3,0.902828748213213
